Pinyin,Chinese,English
ren4 shi5,认识,to know; to recognize; to be familiar with; to get acquainted with sb.; knowledge; understanding; awareness; cognition
san1,三,three
shao3,少,few; less; to lack; to be missing; to stop (doing sth.); seldom
shei2,谁,who
shen2 me5,什么,what?; who?; something; anything
shi2,十,ten
shu1,书,book; letter; document; to write
shui4 jiao4,睡觉,to go to bed; sleep
shuo1 hua4,说话,to speak; to say; to talk; to gossip; to tell stories; talk; word
si4,四,four
ta1,他/她,he or him; she or her; other; another; (used for either sex when the sex is unknown or unimportant); (used as a meaningless mock object); (used before sb's name for emphasis)
tai4,太,too (much); highest; greatest; very; extremely
tong2 xue2,同学,fellow student; classmate; to study at the same school
wei4,喂,hey; to feed (an animal/baby/invalid/etc.)
wo3,我,I; me; my
wo3 men5,我们,we us; ourselves; our
wu3,五,five
xian1 sheng5,先生,teacher; husband; doctor (dialect)
xiang3,想,to want; to wish; to think; to believe; to suppose; to miss (feel wisftful about the absence of sb. or sth.)
xiao3,小,small; tiny; few; young
xiao3 jie5,小姐,young lady; miss; (slang) prostitute
xie3,写,to write
xue2 sheng5,学生,student; schoolchild
xue2 xi2,学习,to learn; to study
xue2 xiao4,学校,school
yi1,一,one; single; a (article); as soon as; entire; whole; all; throughout
yi1 sheng1,医生,doctor
yi1 yuan4,医院,hospital
you3,有,to have; there is; there are; to exist; to be
zai4,在,in the middle of doing sth.; (indicating an action in progress); (located) at; (to be) in; to exist
zen3 me5,怎么,how?; what?; why?
zen3 me5 yang4,怎么样,how about?; how?; how was it?; how are things?
zhe4 er5,这儿,here
zhong1 guo2,中国,China
zhu4,住,"to live; to dwell; to stay; to reside; to stop; (suffix indicating firmness, steadiness, or coming to a halt)"
zi4,字,letter; symbol; character; word
zuo4,做,to do; to make; to produce; to write; compose; to act as; to engage in; to hold (a party); to be; to become; to function (in some capacity); to serve as; to be used for; to form (a bond or relationship); to pretend; to feign; to act a part; to put on appearance
zuo4,坐,to sit; to take a seat; to take (a bus/airplane/etc.); to bear fruit
jin4,近,near; close to; approximately
men2,门,gate; door; gateway; doorway; opening; valve; switch; way to do something; knack; family; house; (religious) sect; school (of thought); class; category; phylum or division; classifier for large guns; classifer for lessons/subjects/branches of technology; (suffix) -gate
niu2 nai3,牛奶,cow's milk
mei3,每,each; every
ke3 neng2,可能,might (happen); possible; probable; possibility; probability; maybe; perhaps
shen1 ti3,身体,one's health; the body; in person
zhen1,真,really; truly; indeed; real; true; genuine
ba5,吧,(modal particle indicating suggestion or surmise); …right?; …OK?; …I presume
ti1 zu2 qiu2,踢足球,to play soccer; to kick a soccer ball
wan2,完,to finish; to be over; whole; complete; entire
lei4,累,tired; weary; to strain; to wear out; to work hard
zao3 shang5,早上,early morning
rang4,让,to yield; to permit; to let sb. do sth.; to have sb. do sth. to make sb. (feel sad/etc.)
ka1 fei1,咖啡,coffee
zhang1,张,to open up; to spread; sheet of paper; classifier for flat objects/sheets; classifier for votes
nin2,您,you (courteous)
gei3,给,to give; to; for; for the benefit of; to allow; to do sth. (for sb.); (sentence intensifier)
dong3,懂,to understand; to comprehend
chuan1,穿,to wear; to put on; to dress; to bore through; to pierce; to perforate; to penetrate; to pass through; to thread
fu2 wu4 yuan2,服务员,waiter; waitress; attendant; customer service personnel
shi2 jian1,时间,time; period
zou3,走,to go; to walk; to run; to move (of vehicle); to visit; to leave; to go away; to die (euph.); from; through; away (in compound verbs); to change (shape/form/meaning)
nan2 ren2,男人,a man; a male; men
di4 di5,弟弟,younger brother
lu4, 路,road; journey; route; line (bus/etc.); sort; kind
guo4,过,to cross; to go over; to pass (time); to celebrate (a holiday); to live; to get along; excessively; too-
yi1 qi3,一起,together; in the same place; with; altogether (in total)
bang1 zhu4,帮助,to help; to assist; assistance; aid
ti2,题,topic; problem for discussion; exam question; subject; to inscribe; to mention
bao4 zhi3,报纸,newspaper; newsprint
dao4,到,to (a place); until (a time); up to; to go; to arrive; (verb complement denoting completion or result of an action)
chang4 ge1,唱歌,to sing a song
gong1 jin1,公斤,kilogram (kg)
yi3 jing1,已经,already
yuan3,远,far; distant; remote; much (lower/etc.); (intensifier in a comparison) by far
chuan2,船,boat; vessel; ship
kai1 shi3,开始,to begin; beginning; to start; initial
qu4 nian2,去年,last year
jian4,件,item; component; classifier for events/things/clothes/etc.
sheng1 bing4,生病,to fall ill
dan4 shi4,但是,but; however
jin4,进,to enter; to go forward; to advance; to go in; to put in; to submit; to take in; to admit; (math.) base of a number system; classifier for sections in a building or residential compound
qing2,晴,clear; fine (weather)
kao3 shi4,考试,exam; to take an exam
gao4 su5,告诉,to tell; to inform; to let know
mang2,忙,busy; hurriedly; to hurry; to rush
zui4,最,most; the most; -est (superlative suffix)
hong2,红,red; popular; revolutionary; bonus
huan1 ying2,欢迎,to welcome; welcome
zuo3 bian5,左边,left; the left side of; to the left of
shang4 ban1,上班,to go to work; to be on duty; to start work; to go to the office
yao4,药,medicine; drug; substance used for a specific purpose (e.g. poisoning/explosion/fermenting); to poison
shou3 biao3,手表,wrist watch
shou3 ji1,手机,cell phone; mobile phone
deng3,等,class; rank; grade; equal to; same as; to wait for; to await; et cetera; and so on; et al. (and other authors); after; as soon as; once
cong2,从,"from; via; passing through; through (a gap); past; ever (followed by negative, meaning never); to comply with; to obey; to join; to engage in; adopting some mode of action or attitude; follower; retainer; accessory; accomplice; related by common paternal grandfather or earlier ancestor"
zhe5,着,aspect particle indicated action in progress
bi3,比,"to compare; to contrast; to gesture (with hands); ratio; (particle used for comparison and ""-er than"")"
shi4 qing2,事情,affair; matter; thing; business
song4,送,to deliver; to carry; to give (as a present); to present (with); to see of; to send
yu2,鱼,fish
mai4,卖,to sell; to reach (a price in an auction)
wen4 ti2,问题,question; problem; issue; topic
xiao3 shi2,小时,hour
ke4,课,subject; course; class; lesson; to levy; tax; form of divination
hei1,黑,black; dark; sinister; secret; shady; illegal; to hide (sth.) away; to vilify; (loanword) to hack (computing)
man4,慢,slow
qi3 chuang2,起床,to get up; to get out of bed
chu1,出,"to go out; to come out; to occur; to produce; to go beyond; to rise; to put forth; to happen; classifier for dramas, plays, operas, etc."
bai3,百,hundred; numerous; all kinds of
yan2 se4,颜色,color; countenance; appearance; facial expression; pigment; dyestuff
pao3 bu4,跑步,to run; to jog; (military) to march at the double
zheng4 zai4,正在,just at (that time); right in (that place); right in the middle of (doing sth.)
hao3 chi1,好吃,tasty; delicious
nv3 ren2,女人,woman
kuai4 le4,快乐,happy; merry
ge1 ge5,哥哥,older brother
ji1 dan4,鸡蛋,(chicken) egg; hen's egg
pian2 yi5,便宜,cheap; inexpensive; small advantages; to let sb. off lightly
liang3,两,two; both; some; a few
gong1 gong4 qi4 che1,公共汽车,bus
hui2 da2,回答,to reply; to answer; the answer
you4 bian5,右边,right side; right; to the right
gong1 si1,公司,(business) company; firm; corporation; incorporated
bai2,白,white; snowy; pure; bright; empty; blank; plain; clear; to make clear; in vain; gratuitous; free of charge; reactionary; anti-communist; funeral; to stare coldly; to write wrong character; to state; to explain; vernacular; spoken lines in opera
pang2 bian1,旁边,lateral; side; to the side; beside
li2,离,to leave; to part from; to be away from; (in giving distances) from; without (sth.); independent of
fang2 jian1,房间,room
yin1,阴,overcast (weather); cloudy; shady; Yin (negative principle of Yin and Yang); negative (electric.); feminine; moon; implicit; hidden; genitalia
piao4,票,ticket; ballot; banknote; person held for ransom; amateur performance of Chinese opera; classifier for groups/batches/business transactions
zhang4 fu5,丈夫,husband
wai4,外,outside; in addition; foreign; external
chang2,长,length; long; forever; always; constantly
cuo4,错,mistake; wrong; bad; interlocking; complex; to grind; to polish; to alternate; to stagger; to miss; to let slip; to evade; to inlay with gold or silver
wen4,问,to ask
ye3,也,also; too
wan3 shang5,晚上,evening; night; in the evening
qi1 zi5,妻子,wife
ci4,次,next in sequence; second; the second (day/time/etc.); secondary; vice-; sub-; infra-; inferior quality; substandard; order; sequence; hypo- (chemistry); classifer for enumerated events
ji1 chang3,机场,airport; airfield
yin1 wei4,因为,because; owing to; on account of
jie3 jie5,姐姐,older sister
fei1 chang2,非常,very; very much; unusual; extraordinary
